NRO_REGISTRO,FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,GOBIERNO_LOCAL,UBIGEO,DIA_RECORRIDO,MES_RECORRIDO,SEMANA_RECORRIDO,DIA_SEMANA_RECORRIDO,TURNO,UNIDAD,CONDUCTOR,PLACA,NRO_BOLETA,UNIDAD,CANTIDAD,RELLENO_SANITARIO
60,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,NOCHE,3,3dcfc9e3a1e225003ef2354e2b78d86fd63cb126f9d5164dde5108ed33ee2296,BCP798,1919256,TONELADAS,11.26,MODELO DEL CALLAO
61,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,NOCHE,4,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1919262,TONELADAS,11.85,MODELO DEL CALLAO
62,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,NOCHE,5,e483237fd6bd1ccc9c6a16e357f6e13a5879f4096a338cd91b602372532b4c01,BFZ705,1919273,TONELADAS,14.21,MODELO DEL CALLAO
63,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240108,202401,2,LUNES,NOCHE,6,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1919267,TONELADAS,11.9,MODELO DEL CALLAO
64,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,MAÃ‘ANA,1,4305c4d8022c7eb530fe364567123d3d787fe3cfb345b4180eb8bdd5bbd05ab4,BNU745,1919470,TONELADAS,9.08,MODELO DEL CALLAO
65,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,TARDE,1,ead0959916fa9503cc8dc8d393a4f982539b9d4d7f1e3b067a03da63038d6ba3,BHH852,1919582,TONELADAS,11.81,MODELO DEL CALLAO
66,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,NOCHE,1,4a7cd82be137fde40100cb970bc6a44aafeb3fd1a0de5eecc9d07289ae6e15be,BHH850,1919650,TONELADAS,13.15,MODELO DEL CALLAO
67,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,NOCHE,2,50fc70d3dd8156aecaef7754359c8407d8970e287ce09887371a4645ef5c17ed,BNU745,1919640,TONELADAS,11.5,MODELO DEL CALLAO
68,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,NOCHE,3,d2946ad6cb6a5189b7fad3d1f59944f1b3772802038dd7b0fc0698841da12466,BTQ941,1919646,TONELADAS,11.68,MODELO DEL CALLAO
69,20250522,LIMA,LIMA,PUEBLO LIBRE,MUNICIPALIDAD DISTRITAL DE PUEBLO LIBRE,150121,20240109,202401,2,MARTES,NOCHE,4,c49a5be102d6ccfb90a2b5c6e191a78c51226a95e0d36ff6291d4d75c1821786,BHH852,1919693,TONELADAS,10.89,MODELO DEL CALLAO
